step,local,wip,remote,cumulative
1,0,5,0,0
2,0,10,0,0
3,0,15,0,0
4,0,20,0,0
5,0,25,0,0
6,25,4,0,0
7,25,9,0,0
8,25,14,0,0
9,25,19,0,0
10,25,24,0,0
11,0,2,50,50
12,0,7,50,100
13,0,12,50,150
14,0,17,50,200
15,0,22,50,250
16,25,1,50,300
17,25,6,50,350
18,25,11,50,400
19,25,16,50,450
20,25,21,50,500
21,50,0,50,550
22,0,3,100,650
23,0,8,100,750
24,0,13,100,850
25,0,18,100,950
26,0,23,100,1050
27,25,2,100,1150
28,25,7,100,1250
29,25,12,100,1350
30,25,17,100,1450
31,25,22,100,1550
32,50,0,100,1650
33,0,4,150,1800
34,0,9,150,1950
35,0,14,150,2100
36,0,19,150,2250
37,0,24,150,2400
38,25,3,150,2550
39,25,8,150,2700
40,25,13,150,2850
41,25,18,150,3000
42,25,23,150,3150
43,0,0,200,3350
44,0,5,200,3550
45,0,10,200,3750
46,0,15,200,3950
47,0,20,200,4150
48,0,25,200,4350
49,25,4,200,4550
50,25,9,200,4750
51,25,14,200,4950
52,25,19,200,5150
53,25,24,200,5350
54,0,1,250,5600
55,0,6,250,5850
56,0,11,250,6100
57,0,16,250,6350
58,0,21,250,6600
59,25,0,250,6850
60,25,5,250,7100
61,25,10,250,7350
62,25,15,250,7600
63,25,20,250,7850
64,25,25,250,8100
65,0,2,300,8400
66,0,7,300,8700
67,0,12,300,9000
68,0,17,300,9300
69,0,22,300,9600
70,25,1,300,9900
71,25,6,300,10200
72,25,11,300,10500
73,25,16,300,10800
74,25,21,300,11100
75,50,0,300,11400
76,0,3,350,11750
77,0,8,350,12100
78,0,13,350,12450
79,0,18,350,12800
80,0,23,350,13150
81,25,2,350,13500
82,25,7,350,13850
83,25,12,350,14200
84,25,17,350,14550
85,25,22,350,14900
86,50,0,350,15250
87,0,4,400,15650
88,0,9,400,16050
89,0,14,400,16450
90,0,19,400,16850
91,0,24,400,17250
92,25,3,400,17650
93,25,8,400,18050
94,25,13,400,18450
95,25,18,400,18850
96,25,23,400,19250
97,0,0,450,19700
98,0,5,450,20150
99,0,10,450,20600
100,0,15,450,21050
